time,pop_capacity,pop_count,pop_updated,upw_capacity,upw_count,upw_updated,fre_capacity,fre_count,fre_updated
2021-04-05 08:15:02.254498,280,29,8:14 AM,56,0,8:11 AM,144,31,8:14 AM
2021-04-05 08:30:02.210856,280,32,8:28 AM,64,0,8:23 AM,165,35,8:29 AM
2021-04-05 08:45:02.321239,280,34,8:43 AM,64,0,8:44 AM,165,38,8:44 AM
2021-04-05 09:00:02.339607,280,35,9:00 AM,64,0,8:59 AM,165,36,9:00 AM
2021-04-05 09:15:01.956413,280,44,9:14 AM,64,1,9:14 AM,165,31,9:13 AM
2021-04-05 09:30:02.183284,280,45,9:20 AM,64,1,9:29 AM,165,28,9:29 AM
2021-04-05 09:45:02.160045,280,48,9:44 AM,64,3,9:44 AM,165,24,9:44 AM
2021-04-05 10:00:01.726946,280,51,9:59 AM,64,3,9:50 AM,165,23,9:59 AM
2021-04-05 10:15:01.543434,280,60,10:13 AM,64,3,10:14 AM,165,17,10:14 AM
2021-04-05 10:30:02.357645,280,66,10:29 AM,64,3,10:15 AM,165,13,10:29 AM
2021-04-05 10:45:01.923379,280,77,10:44 AM,64,0,10:44 AM,165,18,10:44 AM
2021-04-05 11:00:01.638835,280,72,10:59 AM,64,1,10:57 AM,165,18,10:59 AM
2021-04-05 11:15:02.437172,280,81,11:14 AM,64,1,11:13 AM,165,19,11:14 AM
2021-04-05 11:30:04.986868,280,83,11:28 AM,64,2,11:28 AM,165,19,11:30 AM
2021-04-05 11:45:01.913913,280,88,11:44 AM,64,2,11:44 AM,165,30,11:44 AM
2021-04-05 12:00:02.767710,280,79,11:59 AM,64,2,11:53 AM,165,34,11:59 AM
2021-04-05 12:15:01.734438,280,75,12:13 PM,64,2,12:10 PM,165,27,12:13 PM
2021-04-05 12:30:02.238758,280,85,12:29 PM,64,2,12:28 PM,165,35,12:30 PM
2021-04-05 12:45:02.138341,280,81,12:44 PM,64,3,12:44 PM,165,54,12:44 PM
2021-04-05 13:00:02.276867,280,71,12:59 PM,64,3,12:59 PM,165,49,12:59 PM
2021-04-05 13:15:02.173518,280,67,1:14 PM,64,5,1:12 PM,165,51,1:13 PM
